Profil Adı;Delta;Theta;Alpha;Beta;Gamma;
YARATICI LİDER;Orta;Orta;Yüksek;Yüksek;Yüksek;
KARARLI GÖZLEMCİ;Düşük;Orta;Yüksek;Orta;Orta;
ZİHİNSEL SAVAŞÇI ;Düşük;Düşük    ;Düşük;Orta;Yüksek;
ODAĞI YÜKSEK;Düşük;Düşük    ;Yüksek;Orta;Düşük;
YAŞAM USTASI;Orta;Orta;Yüksek;Yüksek;Orta; 
İSTİKRAR SEVEN;Orta;Orta;Orta;Orta;Düşük;
SESSİZ GÖZLEMCİ;Yüksek;Düşük    ;Orta;Orta;Düşük;
HUZUR ODAKLI YAŞAYAN;Yüksek;Orta;Orta;Orta;Düşük;
DİNGİN YAŞAYAN;Yüksek;Yüksek;Yüksek;Orta;Düşük;
DENGE YOLCUSU;Orta;Orta;Orta;Orta;Orta;
MEDİTATİF LİDER;Orta;Yüksek;Orta;Orta;Yüksek;
BİLİNÇLİ ÖNDER;Orta;Orta;Orta;Yüksek;Yüksek;
VİZYON USTASI;Orta;Orta;Orta;Orta;Yüksek;
YARATICI ODAK;Orta - Düşük;Orta - Düşük;Yüksek;Yüksek;Orta;
VERİ MEDİTATÖRÜ;Düşük;Orta - Düşük;Orta;Yüksek;Orta;
GÜÇ ODAKLI YÖNETEN;Orta;Düşük    ;Düşük;Yüksek;Orta-Düşük; 
GÖREV İNSANI;Orta;Düşük    ;Orta;Orta;Orta;
KONTROLLÜ YAŞAYAN ;Orta-Yüksek;Düşük    ;Orta;Yüksek;Orta;
ÇÖZÜM ODAKLI;Düşük;Orta;Orta;Yüksek;Yüksek;
KARARLI GÖZLEMCİ;Orta-Düşük;Orta;Orta;Yüksek;Orta;
KENDİNİ BİLEN;Orta;Orta;Yüksek;Orta;Düşük;
İÇ GÖZLEMCİ;Yüksek;Orta;Orta;Düşük;Düşük;
DETAYLARA HAKİM;Orta;Düşük    ;Düşük;Yüksek;Orta;
SEZGİSEL STRATEJİST;Orta - Düşük;Orta;Düşük;Yüksek;Yüksek;
EMPATİK SAVAŞÇI;Düşük;Yüksek;Düşük;Orta;Orta - Düşük;
Yeni1;Orta - Düşük;Yüksek;Yüksek;Orta;Orta - Yüksek;
Yeni 2;Düşük;Yüksek;Orta;Düşük;Orta;